feature,importance_mean,importance_std
f16,0.07652228499686117,0.002995574483085596
f01,0.025155810639803024,0.002468424503734338
f07,0.020085373509102233,0.001937353272766023
f15,0.011857910102731083,0.0011433188221268897
f13,0.011809483952610056,0.001148824151020542
f12,0.011752089996910997,0.0011550402522107843
f29,0.0116516505744377,0.0018396971747333516
f30,0.011312906665072297,0.0011005866730076895
f08,0.01076937793321967,0.0012238740473439714
f18,0.010438525692762879,0.0013817966956158041
f34,0.009024761107623546,0.0009814498770156887
f23,0.007857033250630174,0.0012282389638620262
f19,0.007598840163811849,0.0013988798645786524
f05,0.007439292938351249,0.0009665253245880666
f09,0.006017118544425437,0.0008796558423956021
f33,0.005531382337408653,0.0011067040800422491
f11,0.005257007343636289,0.0008631579096013982
f22,0.0034994768780078787,0.0007589423362978511
f04,0.00307587759941802,0.0005383932342898278
f02,0.0027912195219161884,0.0009744636942320696
x_int_1,0.00233533614324567,0.0008833272980892805
f14,0.0015118524497054863,0.0010327076131375658
f35,0.0012484779641087408,0.0005301006439385589
f20,0.0010644187367350733,0.0002618053308073765
f17,0.00030187626421143145,0.00025877379835231867
f10,0.00010984565410165903,0.00026196249945637754
f24,8.85222052829704e-05,0.00018798249995702118
f21,6.847417770199371e-05,0.0003358471260435218
f28,5.568010841070503e-05,0.00029775505037387843
f26,-1.5185484112134606e-05,0.0003822578266910966
f31,-5.6477246684460966e-05,0.00034926425156800857
f27,-7.895654599989754e-05,0.00031279727440049746
f06,-0.00019836785938490698,9.361184245646334e-05
x_int_2,-0.00022327843043483674,0.0003125985540536873
f03,-0.00023942048047518317,0.00039502890901318836
f25,-0.0003816698053987211,0.0002744485374069467
f32,-0.0006188184417940557,0.0002214291867226763
